Year,"Population, total",GDP per capita (current US$),Current health expenditure per capita (current US$),"Inflation, consumer prices (annual %)","Unemployment, total (% of total labor force) (modeled ILO estimate)","Foreign direct investment, net inflows (% of GDP)"
1972,11286753.0,141.36532229912,,,,0.00940111467749321
1973,11575305.0,149.74406846683,,,,0.0155769236960059
1974,11869879.0,181.59877600924,,,,
1975,12157386.0,194.66903621844,,,,
1976,12425267.0,205.674096714917,,,,0.00156521738449906
1977,12687301.0,232.778698777445,,,,-0.00812641060285658
1978,12938862.0,255.045622164367,,,,
1979,12986369.0,284.755531712597,,,,0.0324504958728158
1980,12486631.0,291.649791044155,,,,0.247135743279599
1981,11155195.0,311.853617000053,,,,0.005174215982803
1982,10088289.0,,,,,
1983,9951449.0,,,,,
1984,10243686.0,,,,,
1985,10512221.0,,,,,
1986,10448442.0,,,,,
1987,10322758.0,,,,,
1988,10383460.0,,,,,
1989,10673168.0,,,,,
1990,10694796.0,,,,,
1991,10745167.0,,,,8.12100028991699,
1992,12057433.0,,,,8.16800022125244,
1993,14003760.0,,,,8.1230001449585,
1994,15455555.0,,,,8.11100006103516,
1995,16418912.0,,,,8.26000022888184,
1996,17106595.0,,,,8.16499996185303,
1997,17788819.0,,,,8.08899974822998,
1998,18493132.0,,,,8.08199977874756,
1999,19262847.0,,,,8.06999969482422,
2000,19542982.0,,,,8.05399990081787,
2001,19688632.0,,,,8.03999996185303,
2002,21000256.0,183.532775237202,15.80316353,,8.18599987030029,1.29727420799131
2003,22645130.0,200.462566743838,17.03574371,,8.12199974060059,1.27326773088894
2004,23553551.0,221.657604182947,20.4127636,,8.05300045013428,3.57989488419472
2005,24411191.0,255.05511997846,23.89050102,12.6862687216715,8.11299991607666,4.35257512887185
2006,25442944.0,274.000486471348,27.83657074,6.78459655001657,8.05399990081787,3.41395868542516
2007,25903301.0,375.078128065393,31.27183914,8.68057078513406,8.10799980163574,1.94210198645613
2008,26427199.0,387.849174300047,38.10266113,26.4186641547444,8.02200031280518,0.449119854161372
2009,27385307.0,443.845150536332,41.72274399,-6.81116108898995,8.08199977874756,0.461604318218299
2010,28189672.0,554.595200222354,44.99053192,2.1785375238942,8.06799983978271,1.22026467671187
2011,29249157.0,621.912310861592,50.85347366,11.8041858089129,7.94700002670288,0.286818266582787
2012,30466479.0,663.141052810937,51.44026184,6.44121280934118,8.01900005340576,0.281255499281746
2013,31541209.0,651.987861948108,55.03462982,7.38577178397857,7.94899988174438,0.234926111766299
2014,32716210.0,628.146803888496,59.00893402,4.67399603536339,7.90999984741211,0.209119434856893
2015,33753499.0,592.476537451681,58.90652847,-0.661709164713696,8.98900032043457,0.845811014708514
2016,34636207.0,520.252064031151,60.18867111,4.38389195513914,10.0860004425049,0.519387403147856
2017,35643418.0,530.149830802984,65.70602417,4.9759515055383,11.1800003051758,0.272718759182542
2018,36686784.0,502.056770622973,69.99860382,0.626149149168811,11.1099996566772,0.648439597159199
2019,37769499.0,500.522664145294,65.80603027,2.30237251516844,11.085000038147,0.123804203772499
2020,38972230.0,516.866552182696,,,11.710000038147,0.0643889355453321
2021,40099462.0,368.754614175459,,,,0.139319462125938
